domain,category,subcategory,products
consumer_electronics,Smart Home,Video Doorbells,3000
consumer_electronics,Wearables,AR Glasses,2000
consumer_electronics,Wearables,Fitness Trackers,5000
consumer_electronics,Wearables,Sleep Trackers,2000
consumer_electronics,Wearables,Smart Rings,3000
consumer_electronics,Wearables,Smartwatches,8000
home_office,Acoustics,Acoustic Panels,1500
home_office,Acoustics,Desk Dividers,1000
home_office,Acoustics,Door Seals,500
home_office,Acoustics,Sound Masking Devices,1000
home_office,Air & Environment,Air Quality Monitors,1000
home_office,Air & Environment,Desk Fans,750
home_office,Air & Environment,Desktop Air Purifiers,1500
home_office,Air & Environment,Humidifiers,750
home_office,Desks,Compact Desks,2000
home_office,Desks,Corner Desks,3000
home_office,Desks,Drafting Tables,1000
home_office,Desks,Electric Standing Desks,7000
home_office,Desks,Fixed Desks,4000
home_office,Desks,Standing Desk Converters,3000
home_office,Displays,Monitor Arms,3000
home_office,Displays,Portable Monitors,2000
home_office,Displays,Privacy Screens,1000
home_office,Displays,Productivity Monitors,6000
home_office,Displays,Ultrawide Monitors,3000
home_office,Ergonomics,Anti-Fatigue Mats,1500
home_office,Ergonomics,Footrests,2000
home_office,Ergonomics,Keyboard Trays,1500
home_office,Ergonomics,Laptop Stands,2000
home_office,Ergonomics,Lumbar Supports,1500
home_office,Ergonomics,Wrist Rests,1500
home_office,Input Devices,Ergonomic Keyboards,3000
home_office,Input Devices,Graphic Tablets,1000
home_office,Input Devices,Presentation Remotes,1000
home_office,Input Devices,Quiet Keyboards,4000
home_office,Input Devices,Trackballs,1500
home_office,Input Devices,Vertical Mice,2500
home_office,Lighting,Circadian Lighting,1000
home_office,Lighting,Desk Lamps,4000
home_office,Lighting,Floor Lamps,1000
home_office,Lighting,Monitor Light Bars,2000
home_office,Lighting,Video Conference Lights,2000
home_office,Organization,Cable Management,2000
home_office,Organization,Desktop Organizers,2000
home_office,Organization,Drawer Units,2000
home_office,Organization,File Cabinets,1500
home_office,Organization,Pegboards,1500
home_office,Organization,Whiteboards,1000
home_office,Power & Connectivity,Docking Stations,3000
home_office,Power & Connectivity,KVM Switches,1000
home_office,Power & Connectivity,Surge Protectors,1500
home_office,Power & Connectivity,UPS Battery Backups,1500
home_office,Power & Connectivity,USB Hubs,2000
home_office,Power & Connectivity,Wireless Chargers,1000
home_office,Seating,Active Stools,2000
home_office,Seating,Ergonomic Office Chairs,9000
home_office,Seating,Executive Chairs,3000
home_office,Seating,Guest Chairs,3000
home_office,Seating,Kneeling Chairs,2000
home_office,Seating,Mesh Office Chairs,5000
home_office,Video & Audio,Acoustic Headphones,1000
home_office,Video & Audio,Conference Headsets,2000
home_office,Video & Audio,Conference Webcams,3000
home_office,Video & Audio,Speakerphones,2000
home_office,Video & Audio,USB Microphones,2000
running_fitness,Accessories,Race Bib Holders,500
running_fitness,Accessories,Reflective Gear,900
running_fitness,Accessories,Running Belts,1500
running_fitness,Accessories,Running Socks,1200
running_fitness,Accessories,Shoe Care,400
running_fitness,Accessories,Sports Sunglasses,1500
running_fitness,Apparel,Compression Wear,3000
running_fitness,Apparel,Leggings & Tights,6000
running_fitness,Apparel,Running Shorts,6000
running_fitness,Apparel,Running Tops,7000
running_fitness,Apparel,Sports Bras,3000
running_fitness,Apparel,Weatherproof Jackets,5000
running_fitness,Cardio Equipment,Ellipticals,1500
running_fitness,Cardio Equipment,Exercise Bikes,2500
running_fitness,Cardio Equipment,Jump Ropes,1500
running_fitness,Cardio Equipment,Rowing Machines,1500
running_fitness,Cardio Equipment,Treadmills,3000
running_fitness,Footwear,Carbon Racing Shoes,8000
running_fitness,Footwear,Cross-Training Shoes,5000
running_fitness,Footwear,Road Running Shoes,14000
running_fitness,Footwear,Stability Running Shoes,7000
running_fitness,Footwear,Trail Running Shoes,10000
running_fitness,Footwear,Walking Shoes,6000
running_fitness,Hydration,Electrolyte Mixers,1000
running_fitness,Hydration,Hydration Vests,2500
running_fitness,Hydration,Insulated Bottles,1500
running_fitness,Hydration,Running Bottles,2000
running_fitness,Hydration,Soft Flasks,1000
running_fitness,Recovery,Cold Therapy,1500
running_fitness,Recovery,Compression Sleeves,1500
running_fitness,Recovery,Massage Guns,2500
running_fitness,Recovery,Recovery Boots,1500
running_fitness,Recovery,Sleep & Recovery Sensors,1000
running_fitness,Strength,Adjustable Dumbbells,4000
running_fitness,Strength,Barbells & Plates,3000
running_fitness,Strength,Kettlebells,3000
running_fitness,Strength,Pull-Up Systems,2000
running_fitness,Strength,Resistance Bands,3000
running_fitness,Strength,Weight Benches,3000
running_fitness,Wearables,Cycling Computers,3000
running_fitness,Wearables,GPS Running Watches,6000
running_fitness,Wearables,Heart Rate Monitors,4000
running_fitness,Wearables,Running Pods,3000
running_fitness,Wearables,Smart Scales,2000
running_fitness,Yoga & Mobility,Balance Trainers,1500
running_fitness,Yoga & Mobility,Foam Rollers,2500
running_fitness,Yoga & Mobility,Mobility Tools,2000
running_fitness,Yoga & Mobility,Pilates Accessories,1000
running_fitness,Yoga & Mobility,Yoga Blocks,1500
running_fitness,Yoga & Mobility,Yoga Mats,3500
